entity,entity_type,model_version,reference_entity,x_survival_self_expression,y_traditional_secular,n_raw,n_complete,ci95_x_low,ci95_x_high,ci95_y_low,ci95_y_high,source,notes
GPT-3.5,ai_default,gpt-3.5-turbo-0613,,3.3930988825523576,0.7800254280574951,,,,,,,"Tao et al. (2024), replicação OSF 7sj3w",Expressão cultural padrão; versões históricas avaliadas no artigo.
GPT-4,ai_default,gpt-4-0613,,2.8144696889825,-0.0506925110842677,,,,,,,"Tao et al. (2024), replicação OSF 7sj3w",Expressão cultural padrão; versões históricas avaliadas no artigo.
GPT-4 Turbo,ai_default,gpt-4-turbo-2024-04-09,,2.7519387399861657,-0.5683363124966074,,,,,,,"Tao et al. (2024), replicação OSF 7sj3w",Expressão cultural padrão; versões históricas avaliadas no artigo.
GPT-4o,ai_default,gpt-4o-2024-05-13,,2.3983298957193533,0.45656544193686854,,,,,,,"Tao et al. (2024), replicação OSF 7sj3w",Expressão cultural padrão; versões históricas avaliadas no artigo.
GPT-3,ai_default,text-davinci-002,,2.428327304179676,-0.26870936534035594,,,,,,,"Tao et al. (2024), replicação OSF 7sj3w",Expressão cultural padrão; versões históricas avaliadas no artigo.
Sabiá-4 — variante 0,ai_default_prompt_variant_pt,sabia-4,,1.3820250911142418,-0.11431007386385567,,,,,,,Experimento próprio via Maritaca API,Português; sem identidade cultural; temperatura 0.
Sabiá-4 — variante 1,ai_default_prompt_variant_pt,sabia-4,,1.3651319523593624,-1.128093600822679,,,,,,,Experimento próprio via Maritaca API,Português; sem identidade cultural; temperatura 0.
Sabiá-4 — variante 2,ai_default_prompt_variant_pt,sabia-4,,1.6761200175191746,-0.25002234131624756,,,,,,,Experimento próprio via Maritaca API,Português; sem identidade cultural; temperatura 0.
Sabiá-4 — variante 3,ai_default_prompt_variant_pt,sabia-4,,1.7115195470687732,-0.9799400737003569,,,,,,,Experimento próprio via Maritaca API,Português; sem identidade cultural; temperatura 0.
Sabiá-4 — variante 4,ai_default_prompt_variant_pt,sabia-4,,1.400531481908961,-1.8580113332067882,,,,,,,Experimento próprio via Maritaca API,Português; sem identidade cultural; temperatura 0.
Sabiá-4 — variante 5,ai_default_prompt_variant_pt,sabia-4,,1.8316394074350935,0.35931508845403454,,,,,,,Experimento próprio via Maritaca API,Português; sem identidade cultural; temperatura 0.
Sabiá-4 — variante 6,ai_default_prompt_variant_pt,sabia-4,,1.1433103428216065,-0.38274481194353127,,,,,,,Experimento próprio via Maritaca API,Português; sem identidade cultural; temperatura 0.
Sabiá-4 — variante 7,ai_default_prompt_variant_pt,sabia-4,,1.3137624986698913,-1.0677698765061256,,,,,,,Experimento próprio via Maritaca API,Português; sem identidade cultural; temperatura 0.
Sabiá-4 — variante 8,ai_default_prompt_variant_pt,sabia-4,,1.5191143102946796,0.037353352043711985,,,,,,,Experimento próprio via Maritaca API,Português; sem identidade cultural; temperatura 0.
Sabiá-4 — variante 9,ai_default_prompt_variant_pt,sabia-4,,2.2653088957697625,-0.3989943325790255,,,,,,,Experimento próprio via Maritaca API,Português; sem identidade cultural; temperatura 0.
Sabiá-4,ai_default_pt,sabia-4,,1.5608463544961544,-0.5783218003440863,,,,,,,Experimento próprio via Maritaca API,Média de dez descritores genéricos em português; sem identidade cultural; temperatura 0.
