modelo,cond,semente,grupo,geracao,massa_cauda,n_tokens
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,7,0.2095,210
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,8,0.1762,210
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,9,0.1963,214
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,10,0.1896,211
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,11,0.1713,216
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,12,0.1628,215
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,13,0.1667,216
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,14,0.1651,218
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,15,0.1705,217
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,0,0.1569,204
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,1,0.11,209
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,2,0.11,209
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,3,0.1202,208
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,4,0.1202,208
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,5,0.1202,208
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,6,0.1196,209
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,7,0.1346,208
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,8,0.1408,206
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,9,0.1298,208
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,10,0.1408,206
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,11,0.1324,204
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,12,0.1324,204
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,13,0.1498,207
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,14,0.1232,203
anthropic-claude-sonnet-5,pt-C1,regional-03-correr-eguada,regional,15,0.1379,203
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso-1912,regional,0,0.2755,196
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso-1912,regional,1,0.1641,195
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso-1912,regional,2,0.1624,197
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso-1912,regional,3,0.1624,197
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso-1912,regional,4,0.1717,198
